Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,CountDeclInstanceVariable,CountDeclFile,CountDeclFunction,CountLineCode,RatioCommentToCode,CountDeclClassMethod
File,OperatorReduceTest.java,,,,10,,,2,,10,92,0.16,0
File,OperatorRepeatTest.java,,,,13,,,0,,12,113,0.13,0
File,OperatorReplay.java,,,,9,,,1,,9,47,0.89,2
File,OperatorReplayTest.java,,,,20,,,0,,19,343,0.04,0
File,OperatorRetryTest.java,,,,57,,,14,,49,494,0.14,0
File,OperatorRetryWithPredicate.java,,,,11,,,6,,10,77,0.29,0
File,OperatorRetryWithPredicateTest.java,,,,19,,,6,,16,218,0.09,0
File,OperatorSampleTest.java,,,,13,,,4,,13,213,0.08,0
File,OperatorSampleWithObservable.java,,,,9,,,1,,8,57,0.42,0
File,OperatorSampleWithTime.java,,,,10,,,5,,8,70,0.41,0
File,OperatorScan.java,,,,15,,,5,,9,77,0.7,0
File,OperatorScanTest.java,,,,27,,,0,,27,191,0.1,0
File,OperatorSequenceEqual.java,,,,7,,,0,,5,45,0.78,2
File,OperatorSequenceEqualTest.java,,,,15,,,0,,15,120,0.13,0
File,OperatorSerialize.java,,,,4,,,0,,4,23,0.65,0
File,OperatorSerializePerf.java,,,,11,,,3,,11,92,0.23,0
File,OperatorSerializeTest.java,,,,43,,,21,,21,280,0.22,0
File,OperatorSingle.java,,,,11,,,5,,7,59,0.39,0
File,OperatorSingleTest.java,,,,25,,,0,,25,220,0.07,0
File,OperatorSkip.java,,,,10,,,2,,7,45,0.58,0
File,OperatorSkipLast.java,,,,8,,,3,,5,42,0.57,0
File,OperatorSkipLastTest.java,,,,7,,,0,,7,88,0.17,0
File,OperatorSkipLastTimed.java,,,,8,,,3,,6,49,0.37,0
File,OperatorSkipLastTimedTest.java,,,,4,,,0,,4,100,0.15,0
File,OperatorSkipTest.java,,,,7,,,0,,7,100,0.15,0
File,OperatorSkipTimed.java,,,,7,,,3,,6,54,0.35,0
File,OperatorSkipTimedTest.java,,,,4,,,0,,4,108,0.14,0
File,OperatorSkipUntil.java,,,,9,,,1,,8,55,0.49,0
File,OperatorSkipUntilTest.java,,,,7,,,1,,7,112,0.13,0
File,OperatorSkipWhile.java,,,,9,,,3,,7,47,0.43,1
File,OperatorSkipWhileTest.java,,,,12,,,1,,9,106,0.14,0
File,OperatorStartFuture.java,,,,5,,,0,,3,27,1.37,2
File,OperatorStartFutureTest.java,,,,12,,,2,,9,107,0.19,0
File,OperatorSubscribeOn.java,,,,13,,,1,,12,69,0.33,0
File,OperatorSubscribeOnTest.java,,,,32,,,4,,26,202,0.1,0
File,OperatorSum.java,,,,13,,,0,,13,54,0.41,8
File,OperatorSumTest.java,,,,34,,,4,,34,284,0.05,0
File,OperatorSwitch.java,,,,43,,,15,,16,245,0.15,0
File,OperatorSwitchCase.java,,,,4,,,3,,2,33,0.73,0
File,OperatorSwitchTest.java,,,,57,,,7,,50,442,0.04,0
File,OperatorTake.java,,,,13,,,3,,7,60,0.62,0
File,OperatorTakeLast.java,,,,9,,,1,,6,47,0.51,0
File,OperatorTakeLastTest.java,,,,33,,,1,,31,201,0.1,0
File,OperatorTakeLastTimed.java,,,,12,,,3,,8,74,0.32,0
File,OperatorTakeLastTimedTest.java,,,,6,,,0,,6,145,0.31,0
File,OperatorTakeTest.java,,,,36,,,2,,31,286,0.06,0
File,OperatorTakeTimed.java,,,,7,,,4,,7,51,0.43,0
File,OperatorTakeTimedTest.java,,,,3,,,0,,3,84,0.18,0
File,OperatorTakeUntil.java,,,,5,,,1,,5,30,0.7,0
File,OperatorTakeUntilTest.java,,,,10,,,2,,10,139,0.16,0
File,OperatorTakeWhile.java,,,,11,,,3,,7,57,0.37,0
File,OperatorTakeWhileTest.java,,,,20,,,3,,16,176,0.1,0
File,OperatorTester.java,,,,4,,,1,,4,18,1.83,1
File,OperatorTextViewInput.java,,,,8,,,2,,7,50,0.36,0
File,OperatorTextViewInputTest.java,,,,11,,,0,,9,163,0.09,2
