Kind,Name,CountDeclClassMethod,MaxInheritanceTree,CountClassDerived,PercentLackOfCohesion,CountClassCoupled,CountDeclInstanceVariable,CountLineCode,CountDeclFile,CountDeclFunction,RatioCommentToCode,CountDeclMethodAll,SumCyclomatic
Public Method,rx.Observable.subscribe.(Anon_7).onError,,,,,,,6,,,0,,
Public Method,rx.Observable.subscribe.(Anon_7).onNext,,,,,,,6,,,0,,
Public Static Generic Method,rx.Observable.synchronize,,,,,,,3,,,4.67,,
TypeVariable,rx.Observable.synchronize.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.take,,,,,,,3,,,6.33,,
Public Method,rx.Observable.take,,,,,,,3,,,5.67,,
TypeVariable,rx.Observable.take.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.toList,,,,,,,3,,,6.33,,
Public Method,rx.Observable.toList,,,,,,,3,,,5.67,,
TypeVariable,rx.Observable.toList.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.toObservable,,,,,,,3,,,5.33,,
Public Static Generic Method,rx.Observable.toObservable,,,,,,,3,,,5.33,,
Public Static Generic Method,rx.Observable.toObservable,,,,,,,3,,,4.67,,
Public Static Generic Method,rx.Observable.toObservable,,,,,,,3,,,6.33,,
TypeVariable,rx.Observable.toObservable.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.toObservable.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.toObservable.T,0,0,0,0,0,0,0,,,0,0,0
TypeVariable,rx.Observable.toObservable.T,0,0,0,0,0,0,0,,,0,0,0
Public Static Generic Method,rx.Observable.toSortedList,,,,,,,3,,,3.67,,
Public Static Generic Method,rx.Observable.toSortedList,,,,,,,3,,,3.33,,
Public Static Generic Method,rx.Observable.toSortedList,,,,,,,10,,,1,,
Public Method,rx.Observable.toSortedList,,,,,,,3,,,3.33,,
Public Method,rx.Observable.toSortedList,,,,,,,3,,,3,,
Public Method,rx.Observable.toSortedList,,,,,,,3,,,3,,
Class,rx.Observable.toSortedList.(Anon_21),0,0,0,0,4,0,5,,,0,13,1
Public Method,rx.Observable.toSortedList.(Anon_21).call,,,,,,,3,,,0,,
